,tweet_id,retweet_count,likes
1568,674394782723014656,516,1381
1569,674372068062928900,286,788
1570,674330906434379776,69,530
1571,674318007229923329,465,1297
1572,674307341513269249,6264,10455
1573,674291837063053312,5311,13549
1574,674269164442398721,209,841
1575,674265582246694913,763,1503
1576,674262580978937856,403,1213
1577,674255168825880576,489,1342
1578,674082852460433408,150,708
1579,674075285688614912,256,921
1580,674063288070742018,1967,5880
1581,674053186244734976,1171,3044
1582,674051556661161984,445,1335
1583,674045139690631169,581,1298
1584,674042553264685056,115,658
1585,674038233588723717,381,1011
1586,674036086168010753,185,788
1587,674024893172875264,1115,1636
1588,674019345211760640,273,1046
1589,674014384960745472,579,1440
1590,674008982932058114,319,1112
1591,673956914389192708,873,1803
1592,673919437611909120,336,1082
1593,673906403526995968,1495,2931
1594,673887867907739649,230,866
1595,673716320723169284,687,2842
1596,673715861853720576,1863,3238
1597,673711475735838725,272,961
1598,673709992831262724,241,773
1599,673708611235921920,261,986
1600,673707060090052608,353,1016
1601,673705679337693185,368,1160
1602,673700254269775872,519,1317
1603,673697980713705472,1752,3623
1604,673689733134946305,591,1596
1605,673688752737402881,448,1159
1606,673686845050527744,391,1315
1607,673680198160809984,425,1256
1608,673662677122719744,337,1159
1609,673656262056419329,210,666
1610,673636718965334016,329,1023
1611,673612854080196609,650,1467
1612,673583129559498752,324,1101
1613,673580926094458881,248,764
1614,673576835670777856,506,1267
1615,673363615379013632,274,949
1616,673359818736984064,613,1326
1617,673355879178194945,514,1381
1618,673352124999274496,485,1532
1619,673350198937153538,190,700
1620,673345638550134785,1143,2296
1621,673343217010679808,245,887
1622,673342308415348736,513,1175
1623,673320132811366400,7090,12322
1624,673317986296586240,226,807
1625,673295268553605120,2852,6914
1626,673270968295534593,328,980
1627,673240798075449344,637,1309
1628,673213039743795200,757,2040
1629,673148804208660480,566,1545
1630,672997845381865473,641,1803
1631,672995267319328768,266,867
1632,672988786805112832,264,900
1633,672984142909456390,493,1150
1634,672980819271634944,915,1669
1635,672975131468300288,814,1540
1636,672970152493887488,322,867
1637,672968025906282496,490,1221
1638,672964561327235073,579,1295
1639,672902681409806336,446,1263
1640,672898206762672129,379,822
1641,672884426393653248,761,1411
1642,672877615439593473,322,940
1643,672834301050937345,519,1199
1644,672828477930868736,438,1135
1645,672640509974827008,286,903
1646,672622327801233409,435,1183
1647,672614745925664768,527,1119
1648,672609152938721280,351,1004
1649,672604026190569472,357,1002
1650,672594978741354496,551,1209
1651,672591762242805761,299,868
1652,672591271085670400,170,660
1653,672538107540070400,325,931
1654,672523490734551040,151,567
1655,672488522314567680,392,1022
1656,672482722825261057,539,1028
1657,672481316919734272,118,663
1658,672475084225949696,634,1325
1659,672466075045466113,474,1232
1660,672272411274932228,3049,5901
1661,672267570918129665,552,1355
1662,672264251789176834,303,1032
1663,672256522047614977,1375,2594
1664,672254177670729728,675,1309
1665,672248013293752320,539,1583
1666,672245253877968896,141,623
1667,672239279297454080,288,827
1668,672231046314901505,915,1672
1669,672222792075620352,186,722
1670,672205392827572224,1038,2058
1671,672169685991993344,332,936
1672,672160042234327040,318,804
1673,672139350159835138,628,1596
1674,672125275208069120,1029,2172
1675,672095186491711488,335,902
1676,672082170312290304,331,861
1677,672068090318987265,462,1177
1678,671896809300709376,3778,7809
1679,671891728106971137,509,1203
